node;cost;dq_imp;dist;sat;corr_ratio;non_corr_ratio
root;0.723517114;0.292106588;0.178877813;0.879720393;0.540308251;0.159698938
n1;0.606551261;0.077686767;0.86391058;0.63711555;1;0.093709013
n2;0.840892473;0.775033157;0.260245864;0.806329416;0.411890962;0.942797864
n3;0.161682627;0.530610255;0.75079588;0.658389879;0.454661279;0.840329996
n4;0.180795391;0.205444891;0.954481599;0.388368572;0.168363279;0.770735247
n5;0.225816222;1;0.736211269;0.047388066;0.227504246;0.942626529
n6;0.760304277;0.10167676;0.271144619;0.976104007;0.438815263;0.727358374
n7;0.358762766;0.446249682;0.86692491;0.423621537;0.969089376;0.910176463
n8;0.888126185;0.424993689;0.108505876;0.961128204;0.064641733;0.983026857
n9;0.735044553;0.926575456;0;0.905294043;0.779780105;1
n10;0.461120561;0.320522209;0.304093283;0.119300208;0.367092772;0.647496638
